case;singular;plural
tr;mitmeks;mitmeiks, mitmeteks
ter;mitmeni;mitmeini, mitmeteni
es;mitmena;mitmeina, mitmetena
ab;mitmeta;mitmeteta
kom;mitmega;mitmetega
n;mitu-mitu;mitu-mitmed
g;mitu-mitme;mitu-mitmete
p;mitu-mitut;mitu-mitmeid
ill;mitu-mitmesse;mitu-mitmeisse, mitu-mitmetesse
in;mitu-mitmes;mitu-mitmeis, mitu-mitmetes
el;mitu-mitmest;mitu-mitmeist, mitu-mitmetest
all;mitu-mitmele;mitu-mitmeile, mitu-mitmetele
ad;mitu-mitmel;mitu-mitmeil, mitu-mitmetel
abl;mitu-mitmelt;mitu-mitmeilt, mitu-mitmetelt
tr;mitu-mitmeks;mitu-mitmeiks, mitu-mitmeteks
ter;mitu-mitmeni;mitu-mitmeini, mitu-mitmeteni
es;mitu-mitmena;mitu-mitmeina, mitu-mitmetena
ab;mitu-mitmeta;mitu-mitmeteta
kom;mitu-mitmega;mitu-mitmetega
n;mitu-setu;mitmed-setmed
g;mitme-setme;mitmete-setmete
p;mitut-setut;mitmeid-setmeid
ill;mitmesse-setmesse;mitmeisse-setmeisse, mitmetesse-setmetesse
in;mitmes-setmes;mitmeis-setmeis, mitmetes-setmetes
el;mitmest-setmest;mitmeist-setmeist, mitmetest-setmetest
all;mitmele-setmele;mitmeile-setmeile, mitmetele-setmetele
ad;mitmel-setmel;mitmeil-setmeil, mitmetel-setmetel
abl;mitmelt-setmelt;mitmeilt-setmeilt, mitmetelt-setmetelt
tr;mitmeks-setmeks;mitmeiks-setmeiks, mitmeteks-setmeteks
ter;mitme-setmeni;mitmete-setmeteni
es;mitme-setmena;mitmete-setmetena
ab;mitme-setmeta;mitmete-setmeteta
kom;mitme-setmega;mitmete-setmetega
n;muu, muu;muud, muud
g;muu, muu;muude, muude
p;muud, muud;muid, muusid, muusid
ill;muusse, muusse;muisse, muudesse, muudesse
in;muus, muus;muis, muudes, muudes
el;muust, muust;muist, muudest, muudest
all;muule, muule;muile, muudele, muudele
ad;muul, muul;muil, muudel, muudel
abl;muult, muult;muilt, muudelt, muudelt
tr;muuks, muuks;muiks, muudeks, muudeks
ter;muuni, muuni;muini, muudeni, muudeni
es;muuna, muuna;muina, muudena, muudena
ab;muuta, muuta;muudeta, muudeta
kom;muuga, muuga;muudega, muudega
n;;mõlemad
g;mõlema;mõlemate
p;mõlemat;mõlemaid
ill;mõlemasse;mõlemaisse, mõlematesse
in;mõlemas;mõlemais, mõlemates
el;mõlemast;mõlemaist, mõlematest
all;mõlemale;mõlemaile, mõlematele
ad;mõlemal;mõlemail, mõlematel
abl;mõlemalt;mõlemailt, mõlematelt
tr;mõlemaks;mõlemaiks, mõlemateks
ter;mõlemani;mõlemaini, mõlemateni
es;mõlemana;mõlemaina, mõlematena
ab;mõlemata;mõlemateta
kom;mõlemaga;mõlematega
n;mõnesugune;mõnesugused
g;mõnesuguse;mõnesuguste
p;mõnesugust;mõnesuguseid
ill;mõnesugusesse;mõnesugustesse, mõnesuguseisse
in;mõnesuguses;mõnesugustes, mõnesuguseis
el;mõnesugusest;mõnesugustest, mõnesuguseist
all;mõnesugusele;mõnesugustele, mõnesuguseile
ad;mõnesugusel;mõnesugustel, mõnesuguseil
abl;mõnesuguselt;mõnesugustelt, mõnesuguseilt
tr;mõnesuguseks;mõnesugusteks, mõnesuguseiks
ter;mõnesuguseni;mõnesugusteni, mõnesuguseini
es;mõnesugusena;mõnesugustena, mõnesuguseina
ab;mõnesuguseta;mõnesugusteta
kom;mõnesugusega;mõnesugustega
n;mõni;mõned
g;mõne;mõnede
p;mõnd, mõnda;mõnesid
ill;mõnesse;mõnedesse
in;mõnes;mõnedes
el;mõnest;mõnedest
all;mõnele;mõnedele
ad;mõnel;mõnedel
abl;mõnelt;mõnedelt
tr;mõneks;mõnedeks
ter;mõneni;mõnedeni
es;mõnena;mõnedena
ab;mõneta;mõnedeta
kom;mõnega;mõnedega
n;mõningane;mõningased
g;mõningase;mõningaste
p;mõningast;mõningasi
ill;mõningasesse;mõningasisse, mõningastesse
in;mõningases;mõningasis, mõningastes
el;mõningasest;mõningasist, mõningastest
all;mõningasele;mõningasile, mõningastele
ad;mõningasel;mõningasil, mõningastel
abl;mõningaselt;mõningasilt, mõningastelt
tr;mõningaseks;mõningasiks, mõningasteks
ter;mõningaseni;mõningasteni
es;mõningasena;mõningastena
ab;mõningaseta;mõningasteta
kom;mõningasega;mõningastega
n;mõningas;mõningad
g;mõninga;mõningate
p;mõningat;mõningaid
ill;mõningasse;mõningaisse, mõningatesse
in;mõningas;mõningais, mõningates
el;mõningast;mõningaist, mõningatest
all;mõningale;mõningaile, mõningatele
ad;mõningal;mõningail, mõningatel
abl;mõningalt;mõningailt, mõningatelt
tr;mõningaks;mõningaiks, mõningateks
ter;mõningani;mõningaini, mõningateni
es;mõningana;mõningaina, mõningatena
ab;mõningata;mõningateta
kom;mõningaga;mõningatega
n;mäherdune;mäherdused
g;mäherduse;mäherduste
p;mäherdust;mäherdusi
ill;mäherdusesse;mäherdusisse, mäherdustesse
in;mäherduses;mäherdusis, mäherdustes
el;mäherdusest;mäherdusist, mäherdustest
all;mäherdusele;mäherdusile, mäherdustele
ad;mäherdusel;mäherdusil, mäherdustel
abl;mäherduselt;mäherdusilt, mäherdustelt
tr;mäherduseks;mäherdusiks, mäherdusteks
ter;mäherduseni;mäherdusteni
es;mäherdusena;mäherdustena
ab;mäherduseta;mäherdusteta
kom;mäherdusega;mäherdustega
n;määrane;määrased
g;määrase;määraste
p;määrast;määraseid
ill;määrasesse;määrastesse, määraseisse
in;määrases;määrastes, määraseis
el;määrasest;määrastest, määraseist
all;määrasele;määrastele, määraseile
ad;määrasel;määrastel, määraseil
abl;määraselt;määrastelt, määraseilt
tr;määraseks;määrasteks, määraseiks
ter;määraseni;määrasteni, määraseini
es;määrasena;määrastena, määraseina
ab;määraseta;määrasteta
kom;määrasega;määrastega
n;naasugune;naasugused
g;naasuguse;naasuguste
p;naasugust;naasuguseid
ill;naasugusesse;naasugustesse, naasuguseisse
in;naasuguses;naasugustes, naasuguseis
el;naasugusest;naasugustest, naasuguseist
all;naasugusele;naasugustele, naasuguseile
ad;naasugusel;naasugustel, naasuguseil
abl;naasuguselt;naasugustelt, naasuguseilt
tr;naasuguseks;naasugusteks, naasuguseiks
ter;naasuguseni;naasugusteni, naasuguseini
es;naasugusena;naasugustena, naasuguseina
ab;naasuguseta;naasugusteta
kom;naasugusega;naasugustega
n;see;need
g;selle;nende
p;seda;neid
ill;sesse, sellesse;neisse, nendesse
in;ses, selles;neis, nendes
el;sest, sellest;neist, nendest
all;sellele;neile, nendele
ad;sel, sellel;neil, nendel
abl;selt, sellelt;neilt, nendelt
tr;seks, selleks;neiks, nendeks
ter;selleni;nendeni
es;sellena;nendena
ab;selleta;nendeta
kom;sellega;nendega
n;ta, tema;nad, nemad
g;ta, tema;nende
p;teda;neid
ill;tasse, temasse;neisse, nendesse
in;tas, temas;neis, nendes
el;tast, temast;neist, nendest
all;talle, temale;neile, nendele
ad;tal, temal;neil, nendel
abl;talt, temalt;neilt, nendelt
tr;temaks;neiks, nendeks
ter;temani;nendeni
es;temana;nendena
ab;temata;nendeta
kom;temaga;nendega
n;nendesugune;nendesugused
g;nendesuguse;nendesuguste
p;nendesugust;nendesuguseid
ill;nendesugusesse;nendesugustesse, nendesuguseisse
in;nendesuguses;nendesugustes, nendesuguseis
el;nendesugusest;nendesugustest, nendesuguseist
all;nendesugusele;nendesugustele, nendesuguseile
ad;nendesugusel;nendesugustel, nendesuguseil
abl;nendesuguselt;nendesugustelt, nendesuguseilt
tr;nendesuguseks;nendesugusteks, nendesuguseiks
ter;nendesuguseni;nendesugusteni, nendesuguseini
es;nendesugusena;nendesugustena, nendesuguseina
ab;nendesuguseta;nendesugusteta
kom;nendesugusega;nendesugustega
n;nendetaoline;nendetaolised
g;nendetaolise;nendetaoliste
p;nendetaolist;nendetaolisi, nendetaoliseid
ill;nendetaolisesse;nendetaolisisse, nendetaolistesse, nendetaoliseisse
in;nendetaolises;nendetaolisis, nendetaolistes, nendetaoliseis
